ts_ms,level,repeat,mem_used_mb,mem_total_mb,load1,proc_count,swap_used_mb,booted
1786909627683,8,1,23402,32768,898.91,1970,0.00,8
1786909636628,8,1,23413,32768,1013.28,1972,0.00,8
1786909646069,8,1,23473,32768,166.65,1986,0.00,8
1786909665314,8,1,23917,32768,647.71,2049,0.00,8
1786909681847,8,1,25298,32768,994.17,2098,0.00,8
1786909694525,8,1,24837,32768,431.58,2130,0.00,8
1786909713967,8,1,25158,32768,869.63,2212,0.00,8
1786909748936,8,1,25620,32768,885.62,2217,0.00,8
1786909769000,8,1,25632,32768,219.55,2218,0.00,8
1786909783844,8,1,25602,32768,626.73,2206,0.00,8
1786909800270,8,1,26152,32768,997.53,2203,0.00,8
1786909816782,8,1,25695,32768,342.40,2193,0.00,8
1786909830748,8,1,25756,32768,660.00,2197,0.00,8
1786909844957,8,1,25737,32768,887.64,2186,0.00,8
1786909857613,8,1,25796,32768,998.53,2197,0.00,8
1786909873246,8,1,26513,32768,279.66,2243,0.00,8
1786909888797,8,1,25997,32768,616.92,2243,0.00,8
1786909905825,8,1,27204,32768,977.46,2293,0.00,8
1786909922381,8,1,26377,32768,299.98,2289,0.00,8
1786909943003,8,1,27576,32768,743.28,2346,971.88,8
1786909957958,8,1,27167,32768,13.28,2414,1784.62,8
1786909974794,8,1,26351,32768,609.48,2400,2612.25,8
1786909988831,8,1,23924,32768,879.85,2305,2594.00,8
1786910002532,8,1,24327,32768,977.58,2296,2585.00,8
1786910010118,8,1,24444,32768,9.17,2306,2565.75,8
1786910023751,8,1,24565,32768,254.45,2308,2547.06,8
1786910037311,8,1,24738,32768,528.41,2310,2540.44,8
1786910043949,8,1,24733,32768,604.29,2327,2530.88,8
1786910058738,8,1,25008,32768,842.71,2334,2502.38,8
1786910066012,8,1,25044,32768,944.17,2337,2499.56,8
1786910072780,8,1,24724,32768,969.38,2341,2497.06,8
1786910079844,8,1,24668,32768,988.97,2337,2493.38,8
1786910088159,8,1,24734,32768,4.45,2337,2489.38,8
1786910094860,8,1,24775,32768,99.07,2337,2488.19,8
1786910101819,8,1,24799,32768,266.36,2338,2485.62,8
1786910113264,8,1,24812,32768,422.48,2344,2479.56,8
1786910124761,8,1,24801,32768,615.96,2346,2471.50,8
1786910135397,8,1,24799,32768,719.39,2353,2469.25,8
1786910145831,8,1,24774,32768,784.15,2356,2466.44,8
1786910152470,8,1,24755,32768,806.88,2361,2461.19,8
1786910166472,8,1,25049,32768,887.32,2386,2450.69,8
1786910177688,8,1,24878,32768,936.06,2380,2421.94,8
1786910195415,8,1,25353,32768,2.39,2380,2415.31,8
1786910215043,8,1,25656,32768,381.00,2396,2396.88,8
1786910236291,8,1,25626,32768,612.01,2396,2391.19,8
1786910252631,8,1,25648,32768,748.36,2406,2373.25,8
1786910278722,8,1,25703,32768,962.09,2406,2366.00,8
1786910299013,8,1,25715,32768,1002.40,2412,2363.75,8
1786910319190,8,1,25729,32768,1003.33,2418,2360.19,8
1786910336591,8,1,25758,32768,1000.99,2418,2357.12,8
1786910355367,8,1,24163,32768,987.52,2074,2338.50,6
1786910378050,8,1,19057,32768,962.86,1574,1583.38,5
1786910388903,8,1,17170,32768,936.33,1310,1575.38,3
1786910397609,8,1,8583,32768,860.78,469,1013.12,1
1786910403181,8,1,5595,32768,792.09,181,233.88,0
1786910403479,8,2,5440,32768,792.09,175,233.50,0
1786910410750,8,2,8313,32768,683.67,360,233.25,3
1786910423993,8,2,12313,32768,668.11,748,233.25,6
1786910444238,8,2,15549,32768,827.94,1026,233.12,8
1786910458333,8,2,17775,32768,965.32,1232,233.06,8
1786910468606,8,2,18803,32768,175.75,1294,232.31,8
1786910475468,8,2,19340,32768,418.97,1330,232.31,8
1786910483177,8,2,18220,32768,485.92,1336,232.00,8
1786910496045,8,2,19067,32768,673.85,1396,231.88,8
1786910503563,8,2,19092,32768,707.10,1418,231.81,8
1786910510397,8,2,19110,32768,716.15,1454,231.81,8
1786910517690,8,2,19163,32768,704.20,1481,231.81,8
1786910536615,8,2,19926,32768,767.91,1557,231.75,8
1786910559233,8,2,20259,32768,704.53,1555,231.75,8
1786910573685,8,2,20264,32768,763.06,1555,231.75,8
1786910584597,8,2,20256,32768,831.87,1556,231.75,8
1786910600081,8,2,20249,32768,891.53,1557,230.62,8
1786910607715,8,2,20242,32768,910.71,1557,230.50,8
1786910614496,8,2,20237,32768,925.54,1557,230.50,8
1786910620614,8,2,20234,32768,926.84,1557,230.50,8
1786910626874,8,2,20232,32768,921.41,1558,230.50,8
1786910633772,8,2,20229,32768,907.20,1559,230.50,8
1786910640005,8,2,20224,32768,898.38,1560,230.50,8
1786910646445,8,2,20578,32768,894.73,1597,230.44,8
1786910664553,8,2,21529,32768,44.47,1694,230.44,8
1786910678848,8,2,21651,32768,293.13,1699,230.12,8
1786910689426,8,2,21647,32768,593.82,1702,230.12,8
1786910708700,8,2,21612,32768,836.95,1702,230.12,8
1786910723930,8,2,21650,32768,5.16,1705,230.00,8
1786910738591,8,2,21655,32768,379.50,1715,230.00,8
1786910747100,8,2,21955,32768,552.90,1750,230.00,8
1786910765169,8,2,22157,32768,861.09,1797,229.94,8
1786910787755,8,2,22764,32768,209.18,1845,229.88,8
1786910812812,8,2,22999,32768,849.32,1851,229.69,8
1786910829823,8,2,23079,32768,349.27,1848,229.69,8
1786910846060,8,2,23065,32768,752.86,1849,228.75,8
1786910858135,8,2,23066,32768,971.75,1849,228.69,8
1786910870216,8,2,23062,32768,372.50,1848,228.69,8
1786910886837,8,2,23047,32768,773.20,1852,228.50,8
1786910907359,8,2,23851,32768,307.02,1955,228.00,8
1786910931512,8,2,24863,32768,245.47,2043,228.00,8
1786910949730,8,2,25024,32768,105.84,2086,227.94,8
1786910966556,8,2,24966,32768,878.86,2098,227.94,8
1786910974968,8,2,25081,32768,349.72,2100,227.88,8
1786910987891,8,2,25372,32768,850.58,2123,227.88,8
1786911007465,8,2,25934,32768,824.42,2161,226.25,8
1786911018482,8,2,26302,32768,146.25,2167,226.06,8
1786911030879,8,2,26232,32768,818.36,2191,225.69,8
1786911058651,8,2,26243,32768,829.64,2212,225.62,8
1786911073316,8,2,26605,32768,531.62,2191,225.62,8
1786911095128,8,2,26171,32768,23.92,2195,225.38,8
1786911118298,8,2,26215,32768,622.98,2193,225.31,8
1786911143886,8,2,26535,32768,228.97,2224,222.12,8
1786911171527,8,2,27492,32768,896.34,2272,728.50,8
1786911197940,8,2,26788,32768,589.96,2271,727.38,8
1786911224234,8,2,26337,32768,370.68,2262,1232.94,8
1786911256275,8,2,26336,32768,256.23,2260,1225.00,8
1786911285839,8,2,25686,32768,818.21,2236,1223.25,8
